locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAMBLCDF_00001	CDS	858	meh_1	4.2.1.153	COG3777	Mesaconyl-C(4)-CoA hydratase
MAMBLCDF_00002	CDS	801	mcl2_1	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
MAMBLCDF_00003	CDS	705	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
	repeat_region	564				
MAMBLCDF_00004	CDS	339	cas2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
MAMBLCDF_00005	CDS	975	cas1	3.1.-.-		CRISPR-associated endonuclease Cas1
MAMBLCDF_00006	CDS	3285	cas9	3.1.-.-		CRISPR-associated endonuclease Cas9
MAMBLCDF_00007	CDS	267				hypothetical protein
MAMBLCDF_00008	CDS	1254	ycaD_1			putative MFS-type transporter YcaD
MAMBLCDF_00009	CDS	1215				hypothetical protein
MAMBLCDF_00010	CDS	189				hypothetical protein
MAMBLCDF_00011	CDS	738	speE_1	2.5.1.16		Polyamine aminopropyltransferase
MAMBLCDF_00012	CDS	1236			COG1228	putative protein
MAMBLCDF_00013	CDS	480				hypothetical protein
MAMBLCDF_00014	CDS	1119				hypothetical protein
MAMBLCDF_00015	CDS	987	besA_1	3.1.-.-	COG2819	Ferri-bacillibactin esterase BesA
MAMBLCDF_00016	CDS	891				hypothetical protein
MAMBLCDF_00017	CDS	327				hypothetical protein
MAMBLCDF_00018	CDS	495				hypothetical protein
MAMBLCDF_00019	tRNA	77				tRNA-Arg(ccg)
MAMBLCDF_00020	CDS	2190	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
MAMBLCDF_00021	CDS	468	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
MAMBLCDF_00022	CDS	2610				hypothetical protein
MAMBLCDF_00023	CDS	522				hypothetical protein
MAMBLCDF_00024	CDS	825	lafU		COG1360	Chemotaxis protein LafU
MAMBLCDF_00025	CDS	771	pomA		COG1291	Chemotaxis protein PomA
MAMBLCDF_00026	CDS	1809	ndvA	7.5.2.3		Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
MAMBLCDF_00027	CDS	330				hypothetical protein
MAMBLCDF_00028	CDS	1308				hypothetical protein
MAMBLCDF_00029	CDS	1146	aroB_1	4.2.3.4	COG0337	3-dehydroquinate synthase
MAMBLCDF_00030	CDS	582	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
MAMBLCDF_00031	CDS	1845	menF	5.4.4.2		Isochorismate synthase MenF
MAMBLCDF_00032	CDS	144				hypothetical protein
MAMBLCDF_00033	CDS	936	xerD_1			Tyrosine recombinase XerD
MAMBLCDF_00034	CDS	327				hypothetical protein
MAMBLCDF_00035	CDS	210				hypothetical protein
MAMBLCDF_00036	CDS	786				hypothetical protein
MAMBLCDF_00037	CDS	663	glnM_1		COG0765	putative glutamine ABC transporter permease protein GlnM
MAMBLCDF_00038	CDS	651	yecS_1		COG0765	L-cystine transport system permease protein YecS
MAMBLCDF_00039	CDS	732	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
MAMBLCDF_00040	CDS	783	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
MAMBLCDF_00041	CDS	1041	doeB	3.5.1.125	COG3608	N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase
MAMBLCDF_00042	CDS	945	psdht_1	4.2.1.-		Phenylserine dehydratase
MAMBLCDF_00043	CDS	747				hypothetical protein
MAMBLCDF_00044	CDS	273				hypothetical protein
MAMBLCDF_00045	CDS	666				hypothetical protein
MAMBLCDF_00046	CDS	210				hypothetical protein
MAMBLCDF_00047	CDS	453				hypothetical protein
MAMBLCDF_00048	CDS	906	gph_1	3.1.3.18		Phosphoglycolate phosphatase
MAMBLCDF_00049	CDS	837	phnE_1		COG3639	Phosphate-import permease protein PhnE
MAMBLCDF_00050	CDS	807	phnE_2		COG3639	Phosphate-import permease protein PhnE
MAMBLCDF_00051	CDS	840	ftsE_1		COG2884	Cell division ATP-binding protein FtsE
MAMBLCDF_00052	CDS	990				hypothetical protein
MAMBLCDF_00053	CDS	786	csqR_1		COG1349	HTH-type transcriptional repressor CsqR
MAMBLCDF_00054	CDS	903				hypothetical protein
MAMBLCDF_00055	CDS	1251	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
MAMBLCDF_00056	CDS	1236	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
MAMBLCDF_00057	CDS	819				hypothetical protein
MAMBLCDF_00058	CDS	699	psd_1	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
MAMBLCDF_00059	CDS	714				hypothetical protein
MAMBLCDF_00060	CDS	1203	serC_1	2.6.1.52	COG1932	Phosphoserine aminotransferase
MAMBLCDF_00061	CDS	1146	alr_1	5.1.1.1		Alanine racemase
MAMBLCDF_00062	CDS	1263	wbpE_1	2.6.1.98	COG0399	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase
MAMBLCDF_00063	CDS	1242	csd_1	2.8.1.7		putative cysteine desulfurase
MAMBLCDF_00064	CDS	1209	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
MAMBLCDF_00065	tRNA	74				tRNA-Cys(gca)
MAMBLCDF_00066	CDS	684	yiiM		COG2258	Protein YiiM
MAMBLCDF_00067	CDS	1248	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
MAMBLCDF_00068	CDS	552	resA_1			Thiol-disulfide oxidoreductase ResA
MAMBLCDF_00069	CDS	654				hypothetical protein
MAMBLCDF_00070	CDS	531				hypothetical protein
MAMBLCDF_00071	CDS	975				hypothetical protein
MAMBLCDF_00072	CDS	663				hypothetical protein
MAMBLCDF_00073	CDS	780	fucA_1	4.1.2.17		L-fuculose phosphate aldolase
MAMBLCDF_00074	CDS	1440	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
MAMBLCDF_00075	CDS	1464				hypothetical protein
MAMBLCDF_00076	CDS	849	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
MAMBLCDF_00077	CDS	939	ctaB_1	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
MAMBLCDF_00078	CDS	1614	ctaD_1	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
MAMBLCDF_00079	CDS	267				hypothetical protein
MAMBLCDF_00080	CDS	210				hypothetical protein
MAMBLCDF_00081	CDS	582				hypothetical protein
MAMBLCDF_00082	tRNA	76				tRNA-Ala(cgc)
MAMBLCDF_00083	CDS	291				hypothetical protein
MAMBLCDF_00084	CDS	315				hypothetical protein
MAMBLCDF_00085	CDS	696	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
MAMBLCDF_00086	CDS	675				hypothetical protein
MAMBLCDF_00087	CDS	543				hypothetical protein
MAMBLCDF_00088	CDS	489	bfr_1	1.16.3.1	COG2193	Bacterioferritin
MAMBLCDF_00089	CDS	288				hypothetical protein
MAMBLCDF_00090	CDS	534				hypothetical protein
MAMBLCDF_00091	CDS	1584	emrB			Colistin resistance protein EmrB
MAMBLCDF_00092	CDS	1203	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
MAMBLCDF_00093	CDS	669	betI_1			HTH-type transcriptional regulator BetI
MAMBLCDF_00094	CDS	843	ribN_1			Riboflavin transporter
