locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEMGDAED_00001	CDS	774	ybhL		COG0670	Inner membrane protein YbhL
LEMGDAED_00002	CDS	417				hypothetical protein
LEMGDAED_00003	CDS	342				hypothetical protein
LEMGDAED_00004	CDS	201				hypothetical protein
LEMGDAED_00005	CDS	930				hypothetical protein
LEMGDAED_00006	CDS	453				hypothetical protein
LEMGDAED_00007	CDS	678				hypothetical protein
LEMGDAED_00008	CDS	354				hypothetical protein
LEMGDAED_00009	CDS	891	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
LEMGDAED_00010	CDS	213				hypothetical protein
LEMGDAED_00011	CDS	1407				hypothetical protein
LEMGDAED_00012	CDS	195				hypothetical protein
LEMGDAED_00013	CDS	288				hypothetical protein
LEMGDAED_00014	CDS	801				hypothetical protein
LEMGDAED_00015	CDS	228				hypothetical protein
LEMGDAED_00016	CDS	357				hypothetical protein
LEMGDAED_00017	CDS	903	argB_1	2.7.2.8	COG0548	Acetylglutamate kinase
LEMGDAED_00018	CDS	264				hypothetical protein
LEMGDAED_00019	CDS	954		1.17.1.9		Formate dehydrogenase, mitochondrial
LEMGDAED_00020	CDS	993	eno_1	4.2.1.11	COG0148	Enolase
LEMGDAED_00021	CDS	147				hypothetical protein
LEMGDAED_00022	CDS	810	katG	1.11.1.21	COG0376	Catalase-peroxidase
LEMGDAED_00023	CDS	483	ttuD_1	1.1.1.81		Putative hydroxypyruvate reductase
LEMGDAED_00024	CDS	453				hypothetical protein
LEMGDAED_00025	CDS	303				hypothetical protein
LEMGDAED_00026	CDS	300				hypothetical protein
LEMGDAED_00027	CDS	1500				hypothetical protein
LEMGDAED_00028	CDS	291				hypothetical protein
LEMGDAED_00029	CDS	774				hypothetical protein
LEMGDAED_00030	CDS	696	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
LEMGDAED_00031	CDS	1281				hypothetical protein
LEMGDAED_00032	CDS	1212				hypothetical protein
LEMGDAED_00033	CDS	618				hypothetical protein
LEMGDAED_00034	CDS	1254				hypothetical protein
LEMGDAED_00035	CDS	1596	pchF_1	1.17.9.1		4-cresol dehydrogenase [hydroxylating] flavoprotein subunit
LEMGDAED_00036	CDS	906				hypothetical protein
LEMGDAED_00037	CDS	1008				hypothetical protein
LEMGDAED_00038	CDS	522				hypothetical protein
LEMGDAED_00039	CDS	753				hypothetical protein
LEMGDAED_00040	CDS	609				hypothetical protein
LEMGDAED_00041	CDS	267				hypothetical protein
LEMGDAED_00042	CDS	402				hypothetical protein
LEMGDAED_00043	CDS	759				hypothetical protein
LEMGDAED_00044	CDS	294	perR		COG0735	Peroxide operon regulator
LEMGDAED_00045	CDS	204				hypothetical protein
LEMGDAED_00046	CDS	243				hypothetical protein
LEMGDAED_00047	CDS	222				hypothetical protein
LEMGDAED_00048	CDS	543				hypothetical protein
LEMGDAED_00049	CDS	183				hypothetical protein
LEMGDAED_00050	CDS	219	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
LEMGDAED_00051	CDS	333				hypothetical protein
LEMGDAED_00052	CDS	468	aroQ_1	4.2.1.10		3-dehydroquinate dehydratase
LEMGDAED_00053	CDS	462	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LEMGDAED_00054	CDS	264			COG1720	S-adenosyl-L-methionine-binding protein
LEMGDAED_00055	CDS	246				hypothetical protein
LEMGDAED_00056	CDS	1062			COG0609	putative ABC transporter permease protein
LEMGDAED_00057	CDS	603				hypothetical protein
LEMGDAED_00058	CDS	399				IS630 family transposase ISAzs37
LEMGDAED_00059	CDS	378				hypothetical protein
LEMGDAED_00060	CDS	744	pomZ		COG1192	Cell division protein PomZ
LEMGDAED_00061	CDS	951	korB			Transcriptional repressor protein KorB
LEMGDAED_00062	CDS	510				hypothetical protein
LEMGDAED_00063	CDS	741	gnl	3.1.1.17		Gluconolactonase
LEMGDAED_00064	CDS	246				hypothetical protein
LEMGDAED_00065	CDS	774	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
LEMGDAED_00066	CDS	327	nicX	1.13.11.9	COG2309	2,5-dihydroxypyridine 5,6-dioxygenase
LEMGDAED_00067	CDS	285				hypothetical protein
LEMGDAED_00068	CDS	114				hypothetical protein
LEMGDAED_00069	CDS	558				hypothetical protein
LEMGDAED_00070	CDS	810				hypothetical protein
LEMGDAED_00071	CDS	771	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
LEMGDAED_00072	CDS	786	moeZ_1		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
LEMGDAED_00073	CDS	948	gshB_1	6.3.2.3	COG0189	Glutathione synthetase
LEMGDAED_00074	CDS	381				hypothetical protein
LEMGDAED_00075	CDS	687	lutR_1		COG2186	HTH-type transcriptional regulator LutR
LEMGDAED_00076	CDS	456	gcvA_1			Glycine cleavage system transcriptional activator
LEMGDAED_00077	CDS	225				hypothetical protein
LEMGDAED_00078	CDS	177				hypothetical protein
LEMGDAED_00079	CDS	1167	xerC_1			Tyrosine recombinase XerC
LEMGDAED_00080	CDS	291				hypothetical protein
LEMGDAED_00081	CDS	708				hypothetical protein
LEMGDAED_00082	CDS	237				hypothetical protein
LEMGDAED_00083	CDS	651				hypothetical protein
LEMGDAED_00084	CDS	657	dpnA	2.1.1.72		Modification methylase DpnIIB
